station_name,latitude,longitude,tripCount_start2020,tripCount_end2020,tripCount_2020_diff,geometry
1 Ave & E 110 St,40.7923272,-73.9383,2161,2177,-16,POINT (-73.9383 40.7923272)
1 Ave & E 16 St,40.73221853,-73.98165557,7685,7546,139,POINT (-73.98165557 40.73221853)
1 Ave & E 18 St,40.73381219196632,-73.98054420948029,7611,7503,108,POINT (-73.98054420948029 40.73381219196632)
1 Ave & E 30 St,40.74144387,-73.97536082,4818,4840,-22,POINT (-73.97536082 40.74144387)
1 Ave & E 39 St,40.74714,-73.97113,6349,6374,-25,POINT (-73.97113 40.74714)
1 Ave & E 44 St,40.75001986,-73.96905301,2762,2779,-17,POINT (-73.96905301 40.75001986)
1 Ave & E 5 St,40.725864,-73.986389,5239,5233,6,POINT (-73.986389 40.725864)
1 Ave & E 62 St,40.7612274,-73.96094022,7389,7433,-44,POINT (-73.96094022 40.7612274)
1 Ave & E 68 St,40.76500525,-73.95818491,12816,12689,127,POINT (-73.95818491 40.76500525)
1 Ave & E 78 St,40.77140426,-73.9535166,7465,7465,0,POINT (-73.9535166 40.77140426)
1 Ave & E 94 St,40.7817212,-73.94594,2838,2858,-20,POINT (-73.94594 40.7817212)
1 Pl & Clinton St,40.6809591,-73.99905709,1206,1212,-6,POINT (-73.99905709 40.6809591)
10 Ave & W 28 St,40.75066386,-74.00176802,5652,5643,9,POINT (-74.00176802 40.75066386)
10 St & 2 Ave,40.671907,-73.993612,413,412,1,POINT (-73.993612 40.671907)
10 St & 5 Ave,40.6686273,-73.98700053,903,909,-6,POINT (-73.98700053 40.6686273)
10 St & 7 Ave,40.6662078,-73.98199886,1270,1269,1,POINT (-73.98199886 40.6662078)
11 Ave & W 27 St,40.751396,-74.005226,5471,5467,4,POINT (-74.005226 40.751396)
11 Ave & W 41 St,40.76030096,-73.99884222,7773,7765,8,POINT (-73.99884222 40.76030096)
11 Ave & W 59 St,40.77149671054441,-73.99046033620834,5751,5854,-103,POINT (-73.99046033620834 40.77149671054441)
11 St & 35 Ave,40.7627442,-73.9391141,206,198,8,POINT (-73.9391141 40.7627442)
11 St & 43 Ave,40.7519071,-73.9479119,581,583,-2,POINT (-73.9479119 40.7519071)
12 Ave & W 125 St,40.818299,-73.960405,3841,3895,-54,POINT (-73.960405 40.818299)
12 Ave & W 40 St,40.76087502,-74.00277668,12869,12922,-53,POINT (-74.00277668 40.76087502)
12 St & 4 Ave,40.668603,-73.9904394,12,35,-23,POINT (-73.9904394 40.668603)
14 St & 5 Ave,40.666287,-73.98895053,1768,1776,-8,POINT (-73.98895053 40.666287)
14 St & 7 Ave,40.663779,-73.98396846,1457,1476,-19,POINT (-73.98396846 40.663779)
19 St & 24 Ave,40.7774552,-73.9225403,1194,1188,6,POINT (-73.9225403 40.7774552)
2 Ave & 36 St,40.65708866668485,-74.00870203971863,1345,1486,-141,POINT (-74.00870203971863 40.65708866668485)
2 Ave & E 104 St,40.7892105,-73.94370784,1939,1963,-24,POINT (-73.94370784 40.7892105)
2 Ave & E 122 St,40.8006721,-73.9349,965,987,-22,POINT (-73.9349 40.8006721)
2 Ave & E 125 St,40.802554,-73.933509,1142,1154,-12,POINT (-73.933509 40.802554)
2 Ave & E 31 St,40.74290902,-73.97706058,7327,7349,-22,POINT (-73.97706058 40.74290902)
2 Ave & E 72 St,40.7687620293096,-73.95840793848038,5828,5876,-48,POINT (-73.95840793848038 40.7687620293096)
2 Ave & E 96 St,40.7839636,-73.9471673,3835,3827,8,POINT (-73.9471673 40.7839636)
2 Ave & E 99 St,40.7862586,-73.94552579,1626,1646,-20,POINT (-73.94552579 40.7862586)
21 St & 31 Dr,40.7659,-73.930819,1140,1126,14,POINT (-73.930819 40.7659)
21 St & 36 Ave,40.7601853,-73.9362726,626,630,-4,POINT (-73.9362726 40.7601853)
21 St & 38 Ave,40.7576314,-73.9391224,225,214,11,POINT (-73.9391224 40.7576314)
21 St & 43 Ave,40.75052534,-73.94594845,463,469,-6,POINT (-73.94594845 40.75052534)
21 St & Hoyt Ave S,40.774645,-73.923706,1430,1452,-22,POINT (-73.923706 40.774645)
21 St & Queens Plaza North,40.75325964,-73.94335788,988,1005,-17,POINT (-73.94335788 40.75325964)
23 Ave & 27 St,40.776165,-73.9153175,487,490,-3,POINT (-73.9153175 40.776165)
24 Ave & 26 St,40.774591,-73.918544,664,673,-9,POINT (-73.918544 40.774591)
24 Ave & 29 St,40.7729,-73.916142,565,563,2,POINT (-73.916142 40.7729)
24 St & 41 Ave,40.752474,-73.939991,835,840,-5,POINT (-73.939991 40.752474)
27 Ave & 3 St,40.77485,-73.9342,399,399,0,POINT (-73.9342 40.77485)
