station_name,start_lat,start_lng,tripCount_start2021,tripCount_end2021,geometry,tripCount_2021_diff
1 Ave & E 110 St,40.792327,-73.9383,2376,2445,POINT (-73.9383 40.792327),-69
1 Ave & E 16 St,40.73221853,-73.981656,9873,9794,POINT (-73.981656 40.73221853),79
1 Ave & E 18 St,40.733812,-73.98054420948029,8279,8175,POINT (-73.98054420948029 40.733812),104
1 Ave & E 30 St,40.74144387,-73.975361,4671,4663,POINT (-73.975361 40.74144387),8
1 Ave & E 39 St,40.74714,-73.97113,7507,7553,POINT (-73.97113 40.74714),-46
1 Ave & E 44 St,40.75001986,-73.96905301,1695,1626,POINT (-73.96905301 40.75001986),69
1 Ave & E 6 St,40.72633085971696,-73.986169,8216,8223,POINT (-73.986169 40.72633085971696),-7
1 Ave & E 62 St,40.761227,-73.96094022,6622,6614,POINT (-73.96094022 40.761227),8
1 Ave & E 68 St,40.765005,-73.958185,11135,11139,POINT (-73.958185 40.765005),-4
1 Ave & E 78 St,40.771404,-73.953517,7658,7655,POINT (-73.953517 40.771404),3
1 Ave & E 94 St,40.781721,-73.94594,2577,2566,POINT (-73.94594 40.781721),11
1 Pl & Clinton St,40.6809591,-73.99905709,514,520,POINT (-73.99905709 40.6809591),-6
1 St & 6 Ave,40.672784,-73.979826,1243,1258,POINT (-73.979826 40.672784),-15
10 Ave & W 14 St,40.74198159994023,-74.008316,9964,10118,POINT (-74.008316 40.74198159994023),-154
10 Ave & W 202 St,40.861281970750994,-73.921418,219,220,POINT (-73.921418 40.861281970750994),-1
10 Ave & W 204 St,40.862638,-73.92006,93,99,POINT (-73.92006 40.862638),-6
10 Ave & W 207 St,40.864632,-73.918598,330,362,POINT (-73.918598 40.864632),-32
10 Ave & W 215 St,40.86932465640094,-73.91519755125046,132,137,POINT (-73.91519755125046 40.86932465640094),-5
10 Ave & W 28 St,40.75066386,-74.00176802,8955,8899,POINT (-74.00176802 40.75066386),56
10 St & 2 Ave,40.671907,-73.993612,683,819,POINT (-73.993612 40.671907),-136
10 St & 5 Ave,40.668627,-73.987001,1413,1431,POINT (-73.987001 40.668627),-18
10 St & 7 Ave,40.6662078,-73.981999,2395,2394,POINT (-73.981999 40.6662078),1
